date,close,open,high,low,volume
2021-8-31,9.520,9.504,9.546,9.428,43430
2021-9-1,9.336,9.528,9.528,9.276,31880
2021-9-2,9.377,9.345,9.410,9.299,30240
2021-9-3,9.431,9.388,9.482,9.345,31420
2021-9-6,9.451,9.415,9.412,9.412,13820
2021-9-7,9.351,9.345,9.335,9.340,24280
2021-9-8,9.249,9.290,9.275,9.275,33110
2021-9-9,9.388,9.380,9.379,9.380,30830
2021-9-10,9.695,9.540,9.535,9.534,66290
2021-9-13,9.563,9.660,9.640,9.502,49790
2021-9-14,9.442,9.425,9.416,9.417,33720
2021-9-15,9.627,9.515,9.560,9.505,45560
2021-9-16,9.367,9.425,9.418,9.420,39610
2021-9-17,9.312,9.450,9.455,9.450,39350
2021-9-20,9.033,9.132,9.131,9.132,37030
2021-9-21,8.976,9.100,9.107,9.100,36780
2021-9-22,9.286,9.270,9.255,9.245,43800
2021-9-23,9.274,9.260,9.251,9.251,31090
2021-9-24,9.333,9.290,9.271,9.271,28180
2021-9-27,9.362,9.335,9.328,9.328,31950
2021-9-28,9.269,9.275,9.263,9.260,32070
2021-9-29,9.155,9.220,9.215,9.215,29880
2021-9-30,8.937,9.030,9.025,9.021,38370
2021-10-1,9.128,9.100,9.099,9.100,33670
